"","name_resultsfile","region","phenometric","indep.variable","Reanalysis_sign","Reanalysis_p","Reanalysis_coefficient","Fric_SR_Sign","Fric_SR_p","Fric_SR_coef","Fric_RR_Sign","Fric_RR_p","Fric_RR_coef"
"44","Brenthis ino","Europe","termination","year",0,0.0633020016049469,0.156321133226222,NA,NA,NA,NA,NA,NA
"45","Carterocephalus palaemon","Europe","onset","latitude",1,0.0293124064376713,2.37673767376735,1,2.1956626763375e-05,1.59450108579631,1,0.000639799082445706,1.38336677950198
"46","Carterocephalus palaemon","Europe","onset","year",0,0.910148080588546,0.0548197676910909,NA,NA,NA,NA,NA,NA
"47","Carterocephalus palaemon","Europe","termination","latitude",0,0.63602903750144,1.71317131713198,1,2.0104364122591e-05,1.63991849157832,1,0.000130869561082158,1.43910965325514
"48","Carterocephalus palaemon","Europe","termination","year",0,0.214333058404519,3.15057220007716,NA,NA,NA,NA,NA,NA
"49","Coenonympha tullia","Europe","onset","latitude",0,0.765790020081876,0.191786642394076,0,0.264110839449112,0.88583549915915,0,0.456210456154526,0.559194357123406
"50","Coenonympha tullia","Europe","onset","year",0,0.404606374301676,-0.0872747001739108,NA,NA,NA,NA,NA,NA
"51","Coenonympha tullia","Europe","termination","latitude",-1,0.0088584802540432,-2.39979836821874,0,0.47622945255153,-0.724116254991867,0,0.218253117933415,-1.17493992589233
"52","Coenonympha tullia","Europe","termination","year",0,0.151214297795364,0.210403702225645,NA,NA,NA,NA,NA,NA
"53","Colias palaeno","Europe","onset","latitude",1,0.00135458565550635,2.90990874246656,-1,0.00390153235469751,-1.78409090909091,0,0.874847674051385,0.0809697935222748
"54","Colias palaeno","Europe","onset","year",-1,0.0400006442620632,-0.473962476547945,NA,NA,NA,NA,NA,NA
"55","Colias palaeno","Europe","termination","latitude",1,0.00888732680065231,1.63889595717856,1,0.0107746385781377,0.987505070993914,1,0.0255536155138987,0.883377997318913
"56","Colias palaeno","Europe","termination","year",0,0.250140175967009,0.183449490219842,NA,NA,NA,NA,NA,NA
"57","Erebia ligea","Europe","onset","latitude",0,0.145551965177394,2.38666319817769,0,0.0946707220922287,-1.24473111827796,0,0.595975379135262,-0.379723695954954
"58","Erebia ligea","Europe","onset","year",0,0.43892491416248,-0.302389702401221,NA,NA,NA,NA,NA,NA
"59","Erebia ligea","Europe","termination","latitude",-1,0.0373787315351427,-1.4505310364162,1,0.0141762862353746,0.777701337861178,0,0.198381138787761,0.419464659263392
"60","Erebia ligea","Europe","termination","year",0,0.620223048868834,-0.0815928002401182,NA,NA,NA,NA,NA,NA
"61","Euphydryas maturna","Europe","onset","latitude",0,0.113321534346018,5.3574014881229,-1,0.049223548704284,-2.26938529529932,0,0.813287784318004,0.156833418702543
"62","Euphydryas maturna","Europe","onset","year",-1,0.0458081704362499,-0.608784169131411,NA,NA,NA,NA,NA,NA
"63","Euphydryas maturna","Europe","termination","latitude",0,0.0919617757723097,-7.2314548324204,1,0.000545288682069607,4.10620099786173,1,0.000389687972967434,3.6602861630259
"64","Euphydryas maturna","Europe","termination","year",0,0.150099747569325,0.545771051898627,NA,NA,NA,NA,NA,NA
"65","Glaucopsyche alexis","Europe","onset","latitude",0,0.0543833248562524,7.18397355522626,1,0.00924092896060595,1.02910233638475,0,0.073837223541312,0.630013289979533
"66","Glaucopsyche alexis","Europe","onset","year",0,0.999200307149716,-0.000569930468464433,NA,NA,NA,NA,NA,NA
"67","Glaucopsyche alexis","Europe","termination","latitude",0,0.690952145256479,1.39404992590903,1,0.0177887919617584,0.932530724855779,1,0.0201461204415534,0.895489317456444
"68","Glaucopsyche alexis","Europe","termination","year",0,0.520523250903404,0.371765644591367,NA,NA,NA,NA,NA,NA
"69","Limenitis populi","Europe","onset","latitude",1,0.00243859085013799,8.02602124872577,0,0.109931352236379,-1.26601922795374,0,0.999609428140112,0.000363115578961194
"70","Limenitis populi","Europe","onset","year",0,0.145647491652722,0.970599929770804,NA,NA,NA,NA,NA,NA
"71","Limenitis populi","Europe","termination","latitude",0,0.454367583554256,0.881083069777971,1,0.000120521867362292,2.04184773161829,0,0.0693268673164931,1.0660496743117
"72","Limenitis populi","Europe","termination","year",0,0.612988316059505,-0.15504626359223,NA,NA,NA,NA,NA,NA
"73","Lycaena hippothoe","Europe","onset","latitude",0,0.15641560654847,0.843612398807359,0,0.512561169940607,-0.420750253464009,0,0.651033877669219,0.247963187223139
"74","Lycaena hippothoe","Europe","onset","year",0,0.909674810818088,0.00900880946980576,NA,NA,NA,NA,NA,NA
"75","Lycaena hippothoe","Europe","termination","latitude",1,0.0204295186151544,1.3526166973629,0,0.546064547328682,-0.347824735860785,0,0.555519528221973,-0.3354677557328
"76","Lycaena hippothoe","Europe","termination","year",0,0.810787035170763,0.0185019958871963,NA,NA,NA,NA,NA,NA
"77","Lycaena virgaureae","Europe","onset","latitude",0,0.244683717447443,0.702664833441618,0,0.075939820012286,-1.19768345538783,0,0.571179285566621,-0.366332186978565
"78","Lycaena virgaureae","Europe","onset","year",0,0.18816041808835,-0.128333887895299,NA,NA,NA,NA,NA,NA
"79","Lycaena virgaureae","Europe","termination","latitude",0,0.283180008496709,0.396668954575173,1,0.0467190532481024,0.917423616845585,0,0.344328699885491,0.399616116493861
"80","Lycaena virgaureae","Europe","termination","year",0,0.12181566903769,0.0924416573175652,NA,NA,NA,NA,NA,NA
"81","Maniola jurtina","Europe","onset","latitude",1,2.76887024756047e-12,5.0637955892424,0,0.771926358671978,-0.378449869335202,0,0.804657806238977,-0.31637552661732
"82","Maniola jurtina","Europe","onset","year",0,0.154573290966382,-0.11324516338054,NA,NA,NA,NA,NA,NA
"83","Maniola jurtina","Europe","termination","latitude",-1,2.31115625041304e-08,-3.82900681704242,0,0.301002794752065,1.32568450884491,0,0.617874040035436,0.630738739509104
"84","Maniola jurtina","Europe","termination","year",1,0.00385986567512498,0.224750898865536,NA,NA,NA,NA,NA,NA
"85","Thymelicus lineolus","Europe","onset","latitude",1,0.00199847741200448,1.16578350079096,0,0.291830649435471,-0.988430005363576,0,0.342649852625442,0.787858572760892
"86","Thymelicus lineolus","Europe","onset","year",0,0.337943977606454,0.0898330481968662,NA,NA,NA,NA,NA,NA
"87","Thymelicus lineolus","Europe","termination","latitude",0,0.694002874911947,-0.108030054506157,1,0.0154028157257395,1.44231350958921,0,0.242618695401655,0.692666675589016
"88","Thymelicus lineolus","Europe","termination","year",0,0.891756484289204,-0.00941314575046959,NA,NA,NA,NA,NA,NA
