name,region,fric_n,lat_span,year_span,alt_span,n_lat,n_onset,n_term,n_flightcurve0s,curated_n_obs,curated_n_lat,curated_n_fcurve,curated_lat_span,curated_year_span,curated_alt_span
Parnassius smintheus,N. America,140,27,107,4038,22,24,23,7,NA,NA,NA,NA,NA,NA
Phengaris arion,Europe,61,14,52,3203,10,10,11,2,NA,NA,NA,NA,NA,NA
Phyciodes campestris,N. America,42,18,115,1757,10,12,11,2,NA,NA,NA,NA,NA,NA
Phyciodes tharos,N. America,136,13,102,2192,9,15,13,0,57,1,1,0,0,344
Pieris marginalis,N. America,226,40,103,3620,31,35,33,7,NA,NA,NA,NA,NA,NA
Plebejus idas,N. America,32,31,99,2605,18,19,19,9,NA,NA,NA,NA,NA,NA
Plebejus saepiolus,N. America,170,25,104,3795,21,21,21,5,17,1,1,0,0,0
Pyrgus alveus,Europe,594,24,182,2741,17,19,20,2,136,3,9,2,24,146
Pyrgus andromedae,Europe,260,27,136,3193,11,13,11,5,NA,NA,NA,NA,NA,NA
Pyrgus centaureae,N. America,47,27,99,3652,11,11,12,4,NA,NA,NA,NA,NA,NA
Pyrgus malvae,Europe,5449,27,343,1556,25,28,26,1,3214,10,156,12,79,385
Scolitantides orion,Europe,198,25,136,1566,15,15,15,5,29,1,2,0,2,59
Speyeria hesperis,N. America,148,24,103,3366,20,21,21,5,NA,NA,NA,NA,NA,NA
Speyeria mormonia,N. America,164,27,114,4048,17,19,18,3,NA,NA,NA,NA,NA,NA
Thorybes pylades,N. America,229,33,139,2637,27,30,28,4,24,2,2,1,2,276
Thymelicus lineola,Europe,11179,29,143,2233,29,33,30,3,9109,12,192,14,77,443
