"","name_resultsfile","region","phenometric","indep.variable","Reanalysis_sign","Reanalysis_p","Reanalysis_coef","Fric_SR_sign","Fric_SR_p","Fric_SR_coef","Fric_RR_sign","Fric_RR_p","Fric_RR_coef"
"39","Lycaena virgaureae","Europe","onset","latitude",0,0.244683717447487,0.702664833441532,0,0.075939820012286,-1.19768345538783,0,0.571179285566621,-0.366332186978565
"40","Lycaena virgaureae","Europe","onset","year",0,0.188160418088386,-0.128333887895286,0,0.0586654642731815,-0.557132041449698,0,0.0914367698424134,-0.476357332686148
"41","Maniola jurtina","Europe","onset","latitude",1,2.59606601069668e-12,5.06776871326911,0,0.771926358671978,-0.378449869335202,0,0.804657806238977,-0.31637552661732
"42","Maniola jurtina","Europe","onset","year",0,0.153329783313765,-0.113511759851375,0,0.519258834176691,-0.294514974601245,0,0.454050895850969,-0.340746007137962
"43","Thymelicus lineolus","Europe","onset","latitude",1,0.00194301010516914,1.16849615183369,0,0.291830649435471,-0.988430005363576,0,0.342649852625442,0.787858572760892
"44","Thymelicus lineolus","Europe","onset","year",0,0.339219741999532,0.0895545073887449,0,0.125639764089938,-0.755053411831986,0,0.233624754897206,-0.585149227044283
"45","Anthocharis cardamines","Europe","termination","latitude",-1,0.043789332666351,-1.04495540389304,0,0.230134877124922,1.27820455560518,0,0.890674305332228,0.140306347083357
"46","Anthocharis cardamines","Europe","termination","year",0,0.51235360871113,0.0791340325076881,0,0.0890914355842757,1.04590220941642,0,0.137655832231647,0.902634209139011
"47","Aphantopus hyperantus","Europe","termination","latitude",-1,5.22290594154789e-05,-1.1646209283141,0,0.644846844912131,0.551052729644125,0,0.148613940768012,-1.52541872536804
"48","Aphantopus hyperantus","Europe","termination","year",1,0.0310348384504051,0.162336354754869,0,0.0692778548957343,1.02154228970348,0,0.129014099958393,0.864985572212941
"49","Aporia crataegi","Europe","termination","latitude",1,0.00550727138312682,1.47415633974274,1,0.0259534758198289,0.55768795716764,1,0.0281422557740589,0.540535977458553
"50","Aporia crataegi","Europe","termination","year",0,0.519597279223701,-0.0603472317077235,0,0.389322241474845,-0.120132138811163,0,0.226843271155987,-0.155599423370133
